Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648640857425,53,80,80,20,66,33,63,62,494
1648640857433,53,81,77,18,66,32,63,56,489
1648640857440,52,80,77,19,65,33,62,62,492
1648640857448,56,82,76,17,65,29,63,59,490
1648640857456,53,82,77,18,66,36,62,60,492
1648640857464,53,79,75,19,69,31,61,59,489
1648640857472,50,80,78,16,68,35,66,60,492
1648640857479,51,80,78,19,66,32,61,59,491
1648640857487,52,80,77,20,67,37,64,61,493
1648640857495,51,82,74,20,67,35,64,60,490
1648640857503,52,82,76,20,66,30,67,57,490
1648640857511,54,77,75,17,66,29,66,59,489
1648640857518,48,82,81,19,65,34,61,57,490
1648640857527,48,80,77,17,64,35,62,60,488
1648640857535,53,80,80,17,66,29,62,61,491
1648640857543,54,80,78,17,65,32,60,60,492
1648640857550,55,83,78,19,66,34,62,60,494
1648640857558,49,81,76,19,65,32,61,59,490
1648640857566,52,80,75,18,67,35,66,58,489
1648640857573,55,81,81,17,67,33,61,59,492
1648640857581,65,73,84,18,66,37,59,71,486
1648640857589,46,94,75,10,78,30,75,55,492
1648640857597,55,84,89,16,75,22,75,56,493
1648640857605,60,70,88,15,71,30,62,70,489
1648640857613,57,77,90,15,68,34,62,58,493
1648640857624,45,93,66,28,65,25,70,65,485
1648640857632,49,80,83,13,74,36,58,72,485
1648640857640,65,73,88,10,79,26,61,70,486
1648640857651,53,80,78,19,70,33,69,56,491
1648640857660,54,81,79,21,67,35,61,58,492
1648640857668,53,81,77,20,64,33,62,59,491
1648640857676,50,80,76,19,68,33,63,61,491
1648640857684,51,80,79,18,66,33,60,59,494
1648640857692,53,77,76,20,67,33,64,64,492
1648640857700,52,81,75,17,63,30,60,58,487
1648640857708,53,82,76,18,66,33,59,66,492
1648640857715,52,89,80,19,68,29,62,57,491
1648640857723,57,74,80,10,82,24,70,64,490
1648640857731,45,91,72,27,66,37,63,64,491
1648640857739,48,88,69,21,74,25,70,54,502
1648640857748,58,70,92,17,76,23,77,51,507
1648640857756,44,81,72,29,56,36,70,52,499
1648640857764,47,92,78,12,78,23,74,55,508
1648640857772,42,91,77,20,77,29,62,73,488
1648640857781,52,84,79,15,68,34,61,62,491
1648640857857,57,81,78,18,65,33,62,57,489
1648640857865,49,79,78,17,67,29,62,58,488
1648640857873,53,81,80,19,66,38,62,61,494
1648640857882,55,82,77,17,66,32,62,59,494
1648640857889,52,79,76,18,63,33,62,60,490
1648640857897,52,81,78,21,67,36,65,60,489
1648640857906,55,79,77,16,67,34,62,53,502
1648640857915,63,72,79,18,67,33,72,58,495
1648640857925,50,78,77,18,69,32,65,70,492
1648640857933,48,74,84,13,79,29,71,63,494
1648640857941,60,82,79,12,70,38,54,69,489
1648640857949,65,74,82,20,61,41,55,73,485
1648640857957,61,70,85,21,78,26,66,67,486
1648640857964,55,84,81,11,74,35,59,68,500
1648640857973,51,82,75,19,65,32,62,59,487
1648640857983,58,82,75,20,65,34,62,59,492
1648640858012,52,80,76,19,65,31,61,58,491
1648640858020,51,79,75,20,63,34,61,56,491
1648640858028,55,81,78,20,67,34,63,58,490
1648640858038,55,80,77,21,68,35,63,61,491
1648640858046,49,78,79,17,66,31,63,58,489
1648640858053,48,80,76,18,68,31,60,61,493
1648640858063,50,77,72,19,65,43,54,64,487
1648640858071,43,95,70,30,58,45,60,64,489
1648640858079,44,84,74,28,58,43,57,59,500
1648640858087,43,91,76,19,68,27,75,53,499
1648640858095,44,85,65,20,73,29,76,58,486
1648640858103,62,93,69,31,61,32,70,59,491
1648640858111,60,75,77,16,61,42,58,65,493
1648640858119,66,70,92,9,78,25,72,58,501
1648640858130,57,85,79,22,65,33,63,61,493
1648640858171,56,81,77,16,67,33,63,62,493
1648640858180,49,78,76,17,63,34,62,60,491
1648640858187,52,82,76,21,66,32,63,56,491
1648640858195,54,82,80,20,68,33,65,58,491
1648640858203,50,81,77,17,66,34,63,61,490
1648640858212,59,80,77,18,68,35,64,63,491
1648640858221,57,82,79,19,67,38,63,62,493
1648640858228,55,79,80,24,67,33,63,61,492
1648640858240,56,81,78,19,66,34,62,60,491
1648640858248,54,82,80,25,67,35,65,63,494
1648640858255,54,83,76,18,64,34,63,60,493
1648640858263,52,80,77,19,65,33,63,63,493
1648640858271,49,79,75,18,64,32,60,62,490
1648640858280,51,81,80,19,66,35,61,61,490
1648640858288,57,84,78,19,67,32,63,59,493
1648640858295,55,80,75,18,67,31,60,63,496
1648640858303,49,83,81,19,67,33,65,58,494
1648640858312,54,80,76,20,63,35,63,62,493
1648640858320,53,82,78,19,67,33,63,59,489
1648640858328,48,79,76,17,64,33,64,60,488
1648640858336,53,83,77,19,69,33,63,60,488
1648640858345,54,79,76,22,67,33,63,63,495
1648640858353,49,81,77,19,64,32,64,60,493
1648640858360,53,77,77,18,65,32,59,58,491
1648640858371,51,82,78,20,65,32,64,62,492
1648640858380,49,78,79,18,66,34,65,60,494
1648640858387,54,79,80,21,68,34,65,61,489
1648640858396,56,82,80,20,64,38,64,58,490
1648640858403,51,81,77,20,66,34,60,59,491
1648640858411,52,81,79,20,67,35,66,60,493
1648640858421,54,81,81,20,68,35,63,61,492
1648640858429,50,80,79,19,69,34,66,58,492
1648640858437,55,85,78,19,68,41,62,61,491
1648640858447,51,78,76,19,65,33,64,62,491
1648640858457,54,79,77,21,66,34,64,59,490
1648640858465,51,78,74,19,66,33,61,61,488
1648640858473,47,79,79,19,66,35,63,61,491
1648640858480,50,81,76,17,64,31,61,62,493
1648640858488,50,80,79,18,68,35,64,63,491
1648640858497,56,83,78,20,67,34,65,60,494
1648640858505,53,80,78,17,66,30,64,60,492
1648640858513,54,80,75,18,63,33,61,60,491
1648640858520,51,79,77,19,66,35,62,59,492
1648640858528,51,81,79,20,66,36,65,62,493
1648640858538,55,83,77,19,64,35,64,61,492
1648640858547,52,79,78,20,68,31,65,60,492
1648640858555,50,77,75,17,65,33,65,57,489
1648640858563,53,82,78,21,66,33,64,62,490
1648640858574,59,78,79,19,65,34,64,61,493
1648640858582,51,81,76,20,62,30,62,61,490
1648640858590,52,79,75,18,67,31,61,60,493
1648640858598,56,80,77,18,66,33,62,56,488
1648640858606,53,83,79,20,69,37,63,59,490
1648640858615,53,79,79,16,63,32,63,62,490
1648640858623,53,81,77,20,68,33,64,59,489
1648640858631,52,80,75,18,64,31,64,58,490
1648640858641,53,79,77,19,67,34,65,61,495
1648640858651,55,78,76,19,66,31,57,54,491
1648640858659,53,79,78,19,68,32,63,59,491
1648640858666,53,80,79,20,71,30,61,59,492
1648640858674,50,81,76,17,62,32,63,62,493
1648640858682,49,80,76,20,68,35,62,59,494
1648640858692,50,87,76,19,71,32,64,66,487
1648640858702,55,80,80,17,67,30,63,59,490
1648640858712,55,83,77,20,66,37,64,59,494
1648640858721,48,91,80,14,77,30,58,61,488
1648640858729,61,84,84,9,79,25,73,54,502
1648640858737,54,92,79,15,79,37,59,68,497
1648640858746,57,79,78,18,64,31,62,59,490
1648640858761,60,82,80,22,67,36,65,61,488
1648640858769,50,80,77,16,66,31,64,61,488
1648640858777,53,81,76,21,68,36,62,60,491
1648640858785,56,81,77,23,69,30,63,61,492
1648640858793,52,80,77,20,64,31,61,59,489
1648640858800,51,80,77,19,66,32,63,60,492
1648640858810,51,78,77,19,66,30,59,59,492
1648640858818,54,78,77,17,64,31,61,60,488
1648640858826,54,83,81,19,68,34,64,61,493
1648640858833,54,78,80,17,67,32,62,59,489
1648640858843,51,83,82,18,66,33,62,58,489
1648640858853,54,80,77,17,65,33,64,59,492
1648640858861,54,81,77,19,67,33,64,60,492
1648640858871,54,80,80,19,68,36,61,57,488
1648640858879,53,79,76,17,67,34,62,57,490
1648640858887,50,81,77,21,66,34,63,58,488
1648640858895,51,82,76,18,68,34,64,64,494
1648640858903,54,81,79,17,67,33,60,62,491
1648640858912,52,80,76,20,68,34,60,61,491
1648640858921,52,81,80,19,67,32,64,63,492
1648640858929,52,81,76,21,65,32,62,59,487
1648640858936,54,83,81,20,65,33,61,60,492
1648640858946,55,80,79,16,65,34,64,60,491
1648640858954,52,83,77,17,65,34,63,61,489
1648640858962,53,78,76,18,67,33,63,59,492
1648640858972,57,81,76,18,66,35,63,58,492
1648640858979,55,84,75,22,68,32,63,60,487
1648640858987,49,79,75,17,65,34,63,58,490
1648640858995,45,79,76,18,65,34,64,59,488
1648640859004,49,81,77,20,67,31,60,57,488
1648640859012,54,82,79,17,65,32,60,60,491
1648640859020,52,79,78,20,66,35,62,60,489
1648640859029,52,80,75,17,63,32,61,57,490
1648640859038,53,80,75,19,63,32,63,61,492
1648640859046,52,81,79,21,66,34,63,59,490
1648640859056,50,79,77,18,65,33,61,59,490
1648640859064,56,78,76,16,64,31,62,56,486
1648640859074,52,82,75,18,62,34,65,60,489
1648640859082,51,79,78,17,66,32,65,59,491
1648640859089,51,79,75,17,65,32,68,58,489
